Region,Total,Male,Female
MEMBA,"9,351","4,365","4,986"
NORTH RAMBA,"11,142","5,144","5,998"
SOUTH RAMBA,"4,881","2,247","2,634"
WEST ASEMBO,"16,238","7,733","8,503"
SIGER,"11,210","5,370","5,838"
MAHAYA,"5,028","2,363","2,665"
SOUTHASEMBO,"13,203","6,297","6,906"
NYAGOKO,"8,958","4,291","4,667"
AKOM,"4,245","2,006","2,239"
KISUMU,"1,155,574","560,942","594,609"
KISUMU EAST,"220,997","108,304","112,689"
WINAM,"220,997","108,304","112,689"
KAJULU EAST,"17,863","8,558","9,304"
KADERO,"8,557","4,100","4,457"
OKOK,"4,833","2,325","2,508"
GOT-NYABONDO,"4,473","2,133","2,339"
KAJULU WEST,"40,747","19,935","20,810"
WATHOREGO,"21,010","10,427","10,581"
KONYA,"19,737","9,508","10,229"
KOLWA CENTRAL,"68,098","33,126","34,971"
NYALUNYA,"25,853","12,698","13,155"
KASULE,"42,245","20,428","21,816"
KOLWA WEST,"63,202","31,586","31,616"
NYALENDAA,"30,019","15,094","14,925"
MANYATTA B,"33,183","16,492","16,691"
KOLWA EAST,"31,087","15,099","15,988"
BUOYE,"8,006","3,883","4,123"
MAYENYA,"7,806","3,762","4,044"
CHIGA,"15,275","7,454","7,821"
KISUMU CENTRAL,"174,145","84,155","89,985"
WINAM,"174,145","84,155","89,985"
TOWN,"56,498","28,070","28,427"
KALOLENI,"17,004","8,173","8,831"
BANDARI,"6,077","2,999","3,078"
SOUTHERN,"8,927","4,550","4,377"
NORTHERN,"6,069","2,950","3,119"
KANYAKWAR,"18,421","9,398","9,022"
KONDELE,"82,742","39,085","43,655"
MANYATTA 'A',"46,705","22,444","24,259"
MIGOSI,"23,892","10,630","13,262"
NYAWITA,"12,145","6,011","6,134"
NYALENDAB,"34,905","17,000","17,903"
NYALENDAB,"34,905","17,000","17,903"
KISUMU WEST,"172,821","85,697","87,121"
MASENO,"57,555","28,440","29,114"
WEST KISUMU,"27,763","13,378","14,384"
NEWA,"4,325","2,096","2,229"
LOWER KADONGO,"5,689","2,646","3,042"
UPPER KADONGO,"5,312","2,577","2,735"
SOUTH KAPUONJA,"5,400","2,683","2,717"
NORTH KAPUONJA,"7,037","3,376","3,661"
NORTH WEST KISUMU,"29,792","15,062","14,730"
EAST KARATENG',"5,947","2,992","2,955"
WEST KARATENG',"7,888","3,994","3,894"
SUNGA,"8,110","4,261","3,849"
MARERA,"7,847","3,815","4,032"
OTONGLO,"54,855","27,615","27,239"
SOUTH WEST KISUMU,"31,050","14,929","16,121"
OJOLA,"12,491","5,973","6,518"
OSIRI,"9,444","4,509","4,935"
KANYAWEGI,"9,115","4,447","4,668"
CENTRAL KISUMU,"23,805","12,686","11,118"
KORANDO A,"14,537","8,265","6,271"
KORANDO B,"9,268","4,421","4,847"
NYAHERA,"60,411","29,642","30,768"
NORTH KISUMU,"21,545","10,406","11,139"
BAR A,"5,389","2,587","2,802"
BAR B,"5,173","2,497","2,676"
NYAHERA,"10,983","5,322","5,661"
EAST KISUMU,"38,866","19,236","19,629"
KOGONY,"31,140","15,405","15,735"
DAGO,"6,686","3,281","3,405"
MKENDWA,"1,040",550,489
SEME,"121,667","57,658","64,007"
KOMBEWA,"121,667","57,658","64,007"
NORTH CENTRAL SEME,"18,580","8,844","9,736"
KADERO,"3,845","1,804","2,041"
KATIENO EAST,"4,055","1,904","2,151"
KOWE NORTH,"2,877","1,392","1,485"
KOWE SOUTH,"3,148","1,484","1,664"
KATIENO WEST,"4,655","2,260","2,395"
OTWENYA,"19,721","9,242","10,478"
NORTH RATTA,"8,325","3,923","4,402"
EAST KOLUNJE,"4,719","2,216","2,503"
WEST KOLUNJE,"3,477","1,648","1,828"
SOUTH RATTA,"3,200","1,455","1,745"
EAST SEME,"19,605","9,422","10,183"
KIT MIKAYI,"7,813","3,760","4,053"
KOKER KAJULU,"7,111","3,404","3,707"
KAILA,"4,681","2,258","2,423"
WEST SEME,"15,330","7,326","8,004"
WEST RERU,"4,509","2,146","2,363"
EAST RERU,"6,731","3,209","3,522"
WEST NGERE,"1,860",907,953
EAST NGERE,"2,230","1,064","1,166"
SOUTH CENTRAL SEME,"28,477","13,374","15,102"
LOWER KOMBEWA,"4,851","2,293","2,558"
EAST OTHANY,"4,481","2,120","2,360"
WEST OTHANY,"4,602","2,239","2,363"
UPPER KOMBEWA,"6,211","2,846","3,365"
EAST KANYADWERA,"3,998","1,817","2,181"
WEST KANYADWERA,"4,334","2,059","2,275"
SOUTH WEST SEME,"19,954","9,450","10,504"
NORTH ALUNGO,"1,973",976,997
ANGONGA,"2,510","1,180","1,330"
WEST KADINGA,"5,459","2,614","2,845"
ALWALA,"2,812","1,280","1,532"
EAST KADINGA,"3,905","1,824","2,081"
SOUTHALUNGO,"3,295","1,576","1,719"
MUHORONI,"154,116","76,770","77,345"
MIWANI,"90,873","44,869","46,004"
OMBEYI,"30,351","14,730","15,621"
OBUMBA,"6,177","3,010","3,167"
KORE,"7,377","3,633","3,744"
RAMULA,"6,776","3,271","3,505"
IRRIGATION,"4,719","2,249","2,470"
KANGO,"5,302","2,567","2,735"
NYANGOMA,"27,858","13,503","14,355"
SIDHO EAST II,"7,056","3,449","3,607"
WANGAYAI,"12,233","5,877","6,356"
KAMSWA SOUTH,"8,569","4,177","4,392"
NORTH EAST KANO,"24,993","11,811","13,182"
KABAR EAST,"6,044","2,857","3,187"
KABAR CENTRAL,"3,099","1,463","1,636"
SIDHO EAST I,"3,800","1,835","1,965"
KAMSWA NORTH,"2,523","1,199","1,324"
WANGAYA II,"5,883","2,732","3,151"
KABAR WEST,"3,644","1,725","1,919"
MIWANI,"7,671","4,825","2,846"
MIWANI CENTRAL,756,477,279
MIWANI WEST,"4,978","3,296","1,682"
MIWANI EAST,"1,166",633,533
MIWANI NORTH,771,419,352
MUHORONI,"63,243","31,901","31,341"
KORU,"11,691","5,883","5,808"
KORU CENTRAL,"5,324","2,634","2,690"
NYANDO,"2,574","1,309","1,265"
HOMALIME,"3,793","1,940","1,853"
CHEMELIL,"16,088","8,080","8,008"
CHEMELIL,"3,603","1,864","1,739"
NYANGORE,"2,337","1,201","1,136"
WEST SONGHOR,"4,581","2,233","2,348"
KIBIGORI,"5,567","2,782","2,785"
GOD NYITHINDO,"6,549","3,412","3,137"
TONDE,"3,045","1,578","1,467"
OREGO,"3,504","1,834","1,670"
MUHORONI,"7,509","3,742","3,767"
MUHORONI EAST,"3,740","1,827","1,913"
OWAGA,"3,769","1,915","1,854"
TAMU,"15,085","7,493","7,591"
EAST SONGHOR,"5,012","2,497","2,515"
UPPERTAMU,"1,934",997,937
LOWER TAMU,"4,457","2,156","2,300"
GOD ABUORO,"3,682","1,843","1,839"
FORT-TERNAN,"6,321","3,291","3,030"
KANDEGE,"2,220","1,192","1,028"
OCHORIA,"4,101","2,099","2,002"
NYANDO,"161,508","77,121","84,380"
KADIBO,"70,149","33,830","36,318"
KAWINO NORTH,"9,603","4,666","4,937"
KOLAL,"3,909","1,887","2,022"
KAPIYO,"2,864","1,396","1,468"
KABONYO IRRIGATION,"2,830","1,383","1,447"
KAWINO SOUTH,"7,573","3,642","3,931"
KADHIAMBO,"2,107","1,032","1,075"
KWAKUNGU,"2,808","1,315","1,493"
NDURU,935,446,489
UGWE,"1,723",849,874
KOCHIENG' WEST,"13,807","6,606","7,201"
NORTH NYAMWARE,"8,460","3,996","4,464"
SOUTH NYAMWARE,"5,347","2,610","2,737"
KOCHIENG' EAST,"13,467","6,451","7,016"
OKANA,"4,054","1,923","2,131"
RABUOR,"9,413","4,528","4,885"
KOBURA,"9,170","4,472","4,698"
MASOGO,"4,194","2,070","2,124"
LELA,"4,976","2,402","2,574"
BWANDA,"5,837","2,832","3,005"
UPPER BWANDA,"3,925","1,881","2,044"
CENTRAL BWANDA,"1,912",951,961
KATHO,"6,309","3,003","3,306"
KOTIENO,"3,660","1,719","1,941"
KAMAGOYA,"2,649","1,284","1,365"
KANYAGWAL,"4,383","2,158","2,224"
OGENYA,"2,600","1,285","1,314"
ANYURO,"1,783",873,910
NYANDO,"91,359","43,291","48,062"
AWASI,"22,514","10,717","11,795"
BORDER II,"6,179","2,999","3,180"
AYUCHA,"7,275","3,451","3,822"
BORDER I,"5,950","2,789","3,161"
WANG'ANGA,"3,110","1,478","1,632"
KAKOLA,"24,872","11,606","13,263"
KAKOLA AHERO,"9,668","4,508","5,157"
KAKOLA OMBAKA,"3,449","1,656","1,793"
TURA,"11,755","5,442","6,313"
EAST KANO,"9,149","4,270","4,879"
KATOLO,"5,987","2,761","3,226"
ACHEGO,"3,162","1,509","1,653"
KACHOGO,"10,660","5,117","5,543"
KACHOGO CENTRAL,"1,729",873,856
KACHOGO NORTH,"4,931","2,315","2,616"
KACHOGO SOUTH,"4,000","1,929","2,071"
ONJIKO,"13,340","6,378","6,961"
KAKMIE,"7,366","3,455","3,911"
KOBONGO,"5,974","2,923","3,050"
WAWIDHI,"10,824","5,203","5,621"
AYWEYO,"5,820","2,823","2,997"
NYAKONGO,"1,941",903,"1,038"
MAGINA,"3,063","1,477","1,586"
NYAKACH,"150,320","71,237","79,082"
UPPER NYAKACH,"52,906","25,264","27,641"
SOUTH WEST NYAKACH,"7,917","3,719","4,198"
WEST KADIANGA,"7,917","3,719","4,198"
SOUTH NYAKACH,"9,972","4,824","5,148"
SIANY,"9,972","4,824","5,148"
OBOCH,"11,840","5,628","6,212"
GARI,"3,044","1,429","1,615"
KAJIMBO,"8,796","4,199","4,597"
SIGOTI,"3,829","1,784","2,045"
RAMOGI,"3,829","1,784","2,045"
SOUTH EAST NYAKACH,"11,619","5,520","6,099"
EAST KADIANGA,"11,619","5,520","6,099"
KOGUTA,"7,729","3,789","3,939"
KOGUTA EAST,"7,729","3,789","3,939"
LOWER NYAKACH,"53,418","25,293","28,125"
NORTH NYAKACH,"7,073","3,409","3,664"
GEM RAE,"4,508","2,187","2,321"
GEM NAM,"2,565","1,222","1,343"
RANGUL,"5,389","2,574","2,815"
KASAYE,"1,151",578,573
WASARE,"4,238","1,996","2,242"
EAST NYAKACH,"2,020",964,"1,056"
KANDARIA,"1,617",774,843
MICHURA,403,190,213
PAP ONDITI,"10,764","5,026","5,738"
EAST KABODHO,"4,690","2,212","2,478"
MORO,"3,483","1,586","1,897"
OLEMBO,"2,591","1,228","1,363"
CENTRAL NYAKACH,"5,420","2,606","2,814"
JIMO WEST,"3,987","1,931","2,056"
OLWALO,"1,433",675,758
KABODHO WEST,"5,891","2,783","3,108"
WEST KABODHO,"5,891","2,783","3,108"
NYALUNYA,"3,296","1,539","1,757"
NORTH KABODHO,"3,296","1,539","1,757"
ASAO,"4,894","2,337","2,557"
RARIEDA,"1,912",944,968
LISANA,"2,982","1,393","1,589"
AGORO WEST,"6,956","3,267","3,689"
AGORO WEST,"6,956","3,267","3,689"
KANDARIA WEST,"1,715",788,927
WEST KANDARIA,"1,715",788,927
NORTH NYAKACH,"15,848","7,402","8,446"
NORTH EAST NYAKACH,"7,396","3,458","3,938"
AGORO EAST,"3,220","1,504","1,716"
AWACH,"4,176","1,954","2,222"
JIMO EAST,"4,750","2,194","2,556"
JIMO EAST,"4,750","2,194","2,556"
AGORO WEST,"3,702","1,750","1,952"
ATOYIENGO,"3,702","1,750","1,952"
WEST NYAKACH,"28,148","13,278","14,870"
BOLO,"8,020","3,821","4,199"
UPPER KADIANGA,"5,145","2,467","2,678"
KAJIMBO RACHIER,"2,875","1,354","1,521"
THURDIBUORO,"8,315","3,897","4,418"
KOGUTA WEST,"3,990","1,867","2,123"
CENTRAL KOGUTA,"4,325","2,030","2,295"
WEST NYAKACH,"7,834","3,697","4,137"
NYONGONGA,"3,935","1,844","2,091"
LOWER KADIANG'A,"3,899","1,853","2,046"
ANDINGO KASAYE,"3,979","1,863","2,116"
ANDINGO OPANGA,"3,979","1,863","2,116"
HOMA BAY,"1,131,950","539,560","592,367"
HOMA BAY,"117,439","55,756","61,681"
ASEGO,"117,439","55,756","61,681"
ARUJO,"25,175","11,887","13,287"
ARUJO,"25,175","11,887","13,287"
EAST KANYADA,"7,878","3,722","4,156"
KOBUOLA/ KOGWANG,"7,878","3,722","4,156"
HOMA BAY TOWN,"20,097","9,707","10,389"
HOMA BAY TOWNSHIP,"7,856","3,696","4,160"
ASEGO,"12,241","6,011","6,229"
KALANYA KANYANGO,"21,644","10,258","11,386"
KALANYA KANYANGO,"21,644","10,258","11,386"
KANYABALA,"12,801","6,041","6,760"
NORTH KANYABALA,"8,539","4,064","4,475"
SOUTH KANYABALA,"4,262","1,977","2,285"
KANYACH KACHAR,"10,891","5,128","5,763"
KANYACH KACHAR,"10,891","5,128","5,763"
KOTHIDHA,"11,015","5,185","5,830"
KOTHIDHA,"11,015","5,185","5,830"
WEST KANYADA,"7,938","3,828","4,110"
KATUMA,"5,173","2,504","2,669"
KOTIENO,"2,765","1,324","1,441"
NDHIWA,"218,136","103,706","114,422"
KOBODO,"29,414","13,830","15,581"
KAJWANG,"8,871","4,151","4,720"
GOYO,"3,209","1,513","1,696"
KAJWANG,"5,662","2,638","3,024"
NORTHEAST KANYAMWA,"5,206","2,440","2,763"
EAST KOCHIENG,"2,864","1,336","1,527"
WEST KOCHIENG,"2,342","1,104","1,236"
SOUTH KANYAMUA,"5,577","2,640","2,937"
KACHOLA,"5,577","2,640","2,937"
SOUTH EAST KANYAMWA,"3,883","1,817","2,066"
KADWET,"3,883","1,817","2,066"
NORTH KANYAMWA,"5,877","2,782","3,095"
KAKAETA,"2,584","1,229","1,355"
KOMUNGU,"3,293","1,553","1,740"
KOBAMA,"37,338","17,646","19,692"
CENTRAL KWABWAI,"5,335","2,460","2,875"
NYAMOS,"2,555","1,146","1,409"
RATANGA,"2,780","1,314","1,466"
EAST KWABWAI,"8,285","3,932","4,353"
KACHUTH,"3,672","1,744","1,928"
KAMDAR KAWANGA,"2,235","1,055","1,180"
KITIRO,"2,378","1,133","1,245"
NORTH KWABWAI,"6,193","2,943","3,250"
NORTH KADONDO,"1,559",737,822
WACHARA,"4,634","2,206","2,428"
RACHAR,"3,527","1,675","1,852"
RACHAR,"3,527","1,675","1,852"
SOUTHWEST KWABWAI,"6,604","3,116","3,488"
KASIRIME,"6,604","3,116","3,488"
WEST KWABWAI,"7,394","3,520","3,874"
KADHOLA,"4,942","2,335","2,607"
KASIRIME KAWANGA,"2,452","1,185","1,267"
RIANA,"45,513","21,642","23,871"
CENTRAL KABUOCH,"9,342","4,348","4,994"
KARADING,"9,342","4,348","4,994"
EAST KABUOCH,"15,439","7,371","8,068"
KAWERE,"2,952","1,433","1,519"
KAWUOR,"5,993","2,827","3,166"
KONYANGO,"6,494","3,111","3,383"
NORTH KABUOCH,"6,697","3,212","3,485"
KACHWANYA,"3,617","1,729","1,888"
KONYANGO,"3,080","1,483","1,597"
WEST KABUOCH,"7,843","3,751","4,092"
EAST KACHIENG,"7,843","3,751","4,092"
WEST KACHIENG,"6,192","2,960","3,232"
WEST KACHIENG,"6,192","2,960","3,232"
NDHIWA,"42,140","20,078","22,061"
CENTRAL KANYAMWA,"5,455","2,624","2,831"
LOWER KWANDIKU,"2,061","1,025","1,036"
UPPER KWANDIKU,"3,394","1,599","1,795"
EAST KANYAMWA,"13,025","6,188","6,836"
LOWER KABONYO,"4,392","2,088","2,304"
UNGA,"2,132","1,003","1,129"
UPPER KABONYO,"6,501","3,097","3,403"
LOWER KAYAMBO,"11,384","5,438","5,946"
LOWER KAYAMBO,"11,384","5,438","5,946"
UPPER KAYAMBO,"6,991","3,336","3,655"
UPPER KAYAMBO,"6,991","3,336","3,655"
WEST KANYAMWA,"5,285","2,492","2,793"
LOWER KWAMO,"2,374","1,116","1,258"
UPPER KWAMO,"2,911","1,376","1,535"
NYARONGI,"30,202","14,607","15,594"
CENTRAL KANYADOTO,"6,494","3,045","3,448"
NORTH KAGANDA,"2,594","1,153","1,440"
RAPEDHI/WANJAWA,"1,277",614,663
SOUTH KAGANDA,"2,623","1,278","1,345"
NORTH KANYIEKELA,"4,027","1,876","2,151"
OLASI,"2,480","1,169","1,311"
ONGARO,"1,547",707,840
SOUTH KANYIKELA,"6,544","3,389","3,155"
SOUTH KANYIKELA,"6,544","3,389","3,155"
WEST KANYADOTO,"13,137","6,297","6,840"
NORTH KABURA,"3,789","1,802","1,987"
ODHIAMBO RAMBO,"3,232","1,499","1,733"
SOUTH KABURA,"6,116","2,996","3,120"
PALA,"33,529","15,903","17,623"
KAMENYA,"7,471","3,539","3,932"
KAMENYA,"7,471","3,539","3,932"
KOBITA,"10,015","4,840","5,173"
KOBITA,"10,015","4,840","5,173"
KOGUTA,"10,475","4,934","5,540"
BOYA,"5,161","2,463","2,698"
OGANDI,"5,314","2,471","2,842"
SOUTH KABUOCH,"5,568","2,590","2,978"
KAGURIA,"5,568","2,590","2,978"
RACHUONYO NORTH,"178,686","85,409","93,273"
EAST KARACHUONYO,"67,349","32,118","35,230"
CENTRAL KARACHUONYO,"6,912","3,294","3,618"
KOGEMBO,"2,552","1,213","1,339"
KOGWENO KAWUOR,"4,360","2,081","2,279"
KAMSER NYAKONGO,"6,569","3,085","3,484"
KAMSER 'A',"3,352","1,579","1,773"
KAMSER 'B',"1,694",803,891
KODONDI,"1,523",703,820
KANYALUO EAST,"4,321","2,068","2,253"
KOWUOR EAST,"2,796","1,336","1,460"
KOWUOR WEST,"1,525",732,793
KOGWENO ORIANG,"7,958","3,793","4,164"
KOGWENO ORIANG EAST,"4,067","1,937","2,130"
KOGWENO ORIANG WEST,"3,891","1,856","2,034"
NORTH EAST KARACHUONYO,"15,068","7,252","7,816"
KONYANGO,"4,723","2,270","2,453"
KONYANGO MAJIERI,"3,842","1,875","1,967"
KOTIENO,"4,108","1,963","2,145"
LOWER KAKWAJUOK,"2,395","1,144","1,251"
NORTH KARACHUONYO,"8,473","4,061","4,412"
KANYADHIANG',"3,454","1,675","1,779"
LOWER KAKWAJUOK,"1,969",917,"1,052"
UPPER KAKWAJUOK,"3,050","1,469","1,581"
SOUTH KANYALUO,"10,563","4,980","5,583"
CENTRAL KAMENYA,"3,109","1,502","1,607"
NORTH KAMENYA,"4,404","2,035","2,369"
SOUTH KAMENYA,"3,050","1,443","1,607"
WEST KANYALUO,"7,485","3,585","3,900"
KOBILA,"3,694","1,783","1,911"
KOMUOYO,"3,791","1,802","1,989"
WANG'CHIENG,"39,648","18,842","20,804"
KARABONDI,"5,869","2,770","3,099"
KARABONDI EAST,"2,241","1,045","1,196"
KARABONDI WEST,"3,628","1,725","1,903"
KOBUYA,"8,181","3,879","4,301"
KOBUYA EAST,"5,197","2,444","2,753"
KOBUYA WEST,"2,984","1,435","1,548"
RAMBIRA,"8,085","3,817","4,267"
KAGWA,"3,217","1,492","1,725"
KAMSER-SEKA,"4,868","2,325","2,542"
WANG'CHIENG,"17,513","8,376","9,137"
KAJIEI,"5,144","2,442","2,702"
KAMWALA,"3,396","1,618","1,778"
KOBALA,"5,009","2,381","2,628"
RAKWARO,"3,964","1,935","2,029"
WEST KARACHUONYO,"71,689","34,449","37,239"
EAST KAKDHIMU,"4,066","1,980","2,086"
KALWAL,445,210,235
KAMUGA,"2,050","1,015","1,035"
KAWITI,"1,571",755,816
KANAM 'A',"6,844","3,376","3,468"
KANYADENDA,"1,089",539,550
KOGUTA,"2,680","1,315","1,365"
KOWUOR,"3,075","1,522","1,553"
KANAM 'B',"7,386","3,529","3,857"
KANYANGO,"3,441","1,635","1,806"
RABUOR,"3,945","1,894","2,051"
KANJIRA,"9,454","4,457","4,997"
KADIK,"2,538","1,215","1,323"
KAMWANIA,"2,218","1,051","1,167"
KOCHOLA,"2,762","1,290","1,472"
KOKIDI,"1,936",901,"1,035"
KANYIPIR,"6,838","3,231","3,607"
KODERO,"5,116","2,420","2,696"
KOWILI,"1,722",811,911
KOBIERO,"4,912","2,492","2,420"
WAGWE NORTH,"2,330","1,268","1,062"
WAGWE SOUTH,"2,582","1,224","1,358"
KOKOTH KATAA,"7,949","3,791","4,157"
KOKOTH B,"4,722","2,228","2,493"
KOREDO,"3,227","1,563","1,664"
KOKOTH KATENG,"4,060","1,946","2,114"
KAKOKO,"2,345","1,106","1,239"
KOYUMBRE,"1,715",840,875
KOYUGI,"10,476","4,999","5,477"
KAMUGA,"1,779",872,907
KATONDE,"1,807",843,964
KOJWANG,"5,447","2,608","2,839"
OUKO ONDENGE,"1,443",676,767
WADHGONE NYONGO,"4,879","2,407","2,472"
KANYONGO,"1,791",867,924
KAWADHGONE,"3,088","1,540","1,548"
WEST KAKDHIMU,"4,825","2,241","2,584"
KAYOO CENTRAL,923,440,483
KAYOO EAST,"1,293",580,713
KAYOO WEST,"2,609","1,221","1,388"
RACHUONYO EAST,"121,822","57,709","64,111"
KABONDO,"70,253","33,387","36,865"
ATELA,"6,634","3,145","3,488"
KODUMO EAST,"6,634","3,145","3,488"
KASEWE,"15,287","7,293","7,994"
KASEWE 'A',"7,605","3,623","3,982"
KASEWE 'B',"7,682","3,670","4,012"
KAWUOR,"16,656","7,941","8,715"
KODHOCH EAST,"4,570","2,257","2,313"
KOWIDI,"5,481","2,600","2,881"
MIRIU,"6,605","3,084","3,521"
KODOCH WEST,"6,790","3,256","3,534"
LOWER KODHOCH WEST,"3,391","1,607","1,784"
UPPER KODHOCH WEST,"3,399","1,649","1,750"
RAMBA,"11,170","5,199","5,971"
KAKANG'UTU WEST,"4,978","2,305","2,673"
KODUMO WEST,"4,371","2,033","2,338"
KILUSI,"1,821",861,960
WANG'CHIENG,"12,283","5,866","6,417"
KAKANG'UTU EAST,"5,919","2,863","3,056"
RONGO PALA,"6,364","3,003","3,361"
RAMULA,"1,433",687,746
KOWIDI WEST,839,409,430
KAKUMU,594,278,316
KASIPUL EAST,"51,569","24,322","27,246"
KAKELO,"18,945","8,907","10,038"
KAKELO DUDI,"8,117","3,852","4,265"
KAKELO KAMROTH,"10,828","5,055","5,773"
KOJWACH,"15,133","7,167","7,966"
KAMUGA,"6,360","2,975","3,385"
KAWERE,"2,980","1,421","1,559"
KOJWACH KAMIORO,"5,793","2,771","3,022"
KOJWACH EAST,"5,139","2,439","2,699"
KOJWACH EAST,"5,139","2,439","2,699"
KOKWANYO EAST,"6,444","2,978","3,466"
KOKWANYO EAST,"6,444","2,978","3,466"
KOKWANYO WEST,"5,908","2,831","3,077"
KOKWANYO WEST,"5,908","2,831","3,077"
RACHUONYO SOUTH,"130,814","61,663","69,151"
CENTRAL KASIPUL,"28,655","13,427","15,228"
KACHIEN NORTH,"6,273","2,920","3,353"
KACHIEN NORTH,"6,273","2,920","3,353"
KACHIEN SOUTH,"4,021","1,902","2,119"
KACHIEN SOUTH,"4,021","1,902","2,119"
NORTH KAMAGAK,"18,361","8,605","9,756"
KAWERE EAST,"4,492","2,130","2,362"
KAWERE WEST,"5,690","2,599","3,091"
NYALENDA,"8,179","3,876","4,303"
OYUGIS,"48,920","23,116","25,804"
EAST KAMAGAK,"10,306","5,062","5,244"
KACHIENG,"10,306","5,062","5,244"
OYUGIS TOWN,"17,610","8,169","9,441"
OYUGIS TOWN,"17,610","8,169","9,441"
SINO KAGOLA,"6,400","2,947","3,453"
SINOKAGOLA,"6,400","2,947","3,453"
WEST KAMAGAK,"14,604","6,938","7,666"
KAMUMA,"8,736","4,132","4,604"
OBISA,"5,868","2,806","3,062"
WEST KASIPUL,"53,239","25,120","28,119"
KODERA NORTH,"5,509","2,579","2,930"
KAMIYAWA,"1,731",811,920
KASIRE KOGELO,"2,249","1,035","1,214"
KOPIYO KALANDING,"1,529",733,796
KODERA SOUTH,"12,866","6,011","6,855"
KADEL/KAMIDIGO,"6,774","3,195","3,579"
KARABACH,"6,092","2,816","3,276"
KOKECH,"11,200","5,364","5,836"
KASIMBA,"4,132","1,981","2,151"
KAWINO,"7,068","3,383","3,685"
KONUONGA,"11,428","5,384","6,044"
KOTIENO KOCHICH,"5,574","2,621","2,953"
KOTIENO KONUONGA,"5,854","2,763","3,091"
KOWIDI,"12,236","5,782","6,454"
KANYANGO,"5,950","2,764","3,186"
KOKAL,"6,286","3,018","3,268"
RANGWE,"117,732","55,404","62,325"
NORTH NYOKAL,"63,313","29,799","33,512"
CENTRAL KOCHIA,"13,365","6,381","6,984"
KORAYO,"5,646","2,672","2,974"
KOWILI,"7,719","3,709","4,010"
EAST KAGAN,"7,475","3,531","3,943"
KANYARWANDA,"2,985","1,420","1,565"
KOMENYA,"4,490","2,111","2,378"
EAST KOCHIA,"10,193","4,803","5,390"
KAMENYA,"10,193","4,803","5,390"
GONGO,"7,829","3,671","4,158"
GONGO,"7,829","3,671","4,158"
KAGAN SOUTH,"6,251","2,871","3,380"
KAGAN SOUTH,"6,251","2,871","3,380"
WEST KAGAN,"10,281","4,805","5,475"
KANYIRIEMA,"6,456","3,045","3,411"
KOKOKO,"3,825","1,760","2,064"
WEST KOCHIA,"7,919","3,737","4,182"
KANAM,"4,471","2,090","2,381"
KAURA,"3,448","1,647","1,801"
RANGWE,"54,419","25,605","28,813"
EAST GEM,"5,878","2,704","3,174"
KOYOLO,"5,878","2,704","3,174"
GEM CENTRAL,"12,274","5,828","6,446"
KAJULU,"12,274","5,828","6,446"
GEM WEST,"11,155","5,247","5,908"
KAMAGAWI,"4,126","1,910","2,216"
KANYANJWA,"7,029","3,337","3,692"
GENGA,"12,633","5,933","6,699"
GENGA,"12,633","5,933","6,699"
KOMOLO,"4,330","2,081","2,249"
KOMOLO,"4,330","2,081","2,249"
KOTIENO,"8,149","3,812","4,337"
KOTIENO,"8,149","3,812","4,337"
SUBA NORTH,"124,938","60,530","64,406"
LAMBWE,"25,474","12,210","13,264"
LAMBWE EAST,"15,050","7,210","7,840"
NYAMAJI EAST,"3,373","1,667","1,706"
NYAMAJI WEST,"3,173","1,555","1,618"
RURI EAST,"4,521","2,111","2,410"
RURI WEST,"3,983","1,877","2,106"
LAMBWE WEST,"10,424","5,000","5,424"
GOD JOPE,"5,773","2,735","3,038"
OGONGO,"4,651","2,265","2,386"
MBITA,"45,929","21,996","23,932"
GEMBE CENTRAL,"7,022","3,429","3,593"
KAMRERI EAST,"3,560","1,755","1,805"
KAMRERI WEST,"3,462","1,674","1,788"
GEMBE EAST,"13,776","6,553","7,223"
KAYANJA,"4,805","2,310","2,495"
NGODHE,"2,211","1,045","1,166"
USAO,"3,310","1,605","1,705"
WAONDO,"3,450","1,593","1,857"
GEMBE WEST,"25,131","12,014","13,116"
KASGUNGA CENTRAL,"4,437","2,078","2,359"
KASGUNGA EAST,"4,181","2,031","2,150"
MBITA TOWNSHIP,"16,513","7,905","8,607"
MFANGANO,"24,123","11,957","12,166"
MFANGANO EAST,"5,521","2,681","2,840"
WAKINGA,"5,521","2,681","2,840"
MFANGANO NORTH,"5,374","2,591","2,783"
SOKLO NORTH,360,173,187
WAWARE,"5,014","2,418","2,596"
MFANGANO SOUTH,"6,237","3,227","3,010"
WAKULA SOUTH,"6,237","3,227","3,010"
MFANGANO WEST,"6,991","3,458","3,533"
SOKLO SOUTH,897,421,476
WAKULA NORTH,"6,094","3,037","3,057"
RUSINGA,"29,412","14,367","15,044"
RUSINGA EAST,"14,055","6,847","7,207"
WAWARE NORTH,"11,173","5,416","5,756"
WAWARE SOUTH,"2,882","1,431","1,451"
RUSINGA WEST,"15,357","7,520","7,837"
KAMASENGERE EAST,"3,256","1,511","1,745"
KAMASENGERE WEST,"5,469","2,717","2,752"
KASWANGA,"2,839","1,387","1,452"
WANYAMA,"3,793","1,905","1,888"
SUBA SOUTH,"122,383","59,383","62,998"
CENTRAL,"45,235","21,971","23,264"
KAKSINGIRI EAST,"8,129","3,959","4,170"
SUMBA EAST,"3,189","1,569","1,620"
SUMBA WEST,"4,940","2,390","2,550"
